UMID_MED,DT_MEDICAO,DC_NOME,UMID_MIN,TEMP_MED,CHUVA,VL_LATITUDE,TEMP_MIN,TEMP_MAX,UF,VEL_VENTO_MED,CD_ESTACAO,VL_LONGITUDE
78.3,2018-01-01,RIO DE JANEIRO-MARAMBAIA,58,26.1,0,-23.05027777,22.7,29.3,RJ,2.9,A602,-43.59555555
68.3,2018-01-02,RIO DE JANEIRO-MARAMBAIA,39,28.3,0,-23.05027777,23.8,36.9,RJ,3.7,A602,-43.59555555
79.1,2018-01-03,RIO DE JANEIRO-MARAMBAIA,49,26.8,0.4,-23.05027777,24.5,33.3,RJ,3.8,A602,-43.59555555
81.7,2018-01-04,RIO DE JANEIRO-MARAMBAIA,71,25.1,27.2,-23.05027777,23,27.7,RJ,4.9,A602,-43.59555555
82.8,2018-01-05,RIO DE JANEIRO-MARAMBAIA,68,23.6,0.2,-23.05027777,21,28,RJ,2.8,A602,-43.59555555
80.8,2018-01-06,RIO DE JANEIRO-MARAMBAIA,56,25.7,14.6,-23.05027777,23.1,30.7,RJ,3.1,A602,-43.59555555
89.7,2018-01-07,RIO DE JANEIRO-MARAMBAIA,81,23.8,61.8,-23.05027777,22.5,26,RJ,4,A602,-43.59555555
90.3,2018-01-08,RIO DE JANEIRO-MARAMBAIA,80,23,62,-23.05027777,20.6,25.8,RJ,2.6,A602,-43.59555555
83.4,2018-01-09,RIO DE JANEIRO-MARAMBAIA,62,25.2,4.6,-23.05027777,21.7,29.7,RJ,3.6,A602,-43.59555555
79.7,2018-01-10,RIO DE JANEIRO-MARAMBAIA,62,25.9,0,-23.05027777,23,30.2,RJ,4.4,A602,-43.59555555
76.1,2018-01-11,RIO DE JANEIRO-MARAMBAIA,57,,0,-23.05027777,22.2,30.5,RJ,3.6,A602,-43.59555555
83.5,2018-01-12,RIO DE JANEIRO-MARAMBAIA,52,24,0.8,-23.05027777,20.4,32.3,RJ,2.5,A602,-43.59555555
75.7,2018-01-13,RIO DE JANEIRO-MARAMBAIA,55,25.7,0.2,-23.05027777,22.6,30.9,RJ,3.1,A602,-43.59555555
69,2018-01-14,RIO DE JANEIRO-MARAMBAIA,37,26.7,1.6,-23.05027777,22.4,34.7,RJ,4,A602,-43.59555555
60,2018-01-15,RIO DE JANEIRO-MARAMBAIA,42,28.1,0,-23.05027777,24.5,33.4,RJ,4.1,A602,-43.59555555
58.6,2018-01-16,RIO DE JANEIRO-MARAMBAIA,42,27.9,0,-23.05027777,25.1,32.9,RJ,3.4,A602,-43.59555555
67.5,2018-01-17,RIO DE JANEIRO-MARAMBAIA,45,27.5,0,-23.05027777,22.7,32.9,RJ,2.9,A602,-43.59555555
59.1,2018-01-18,RIO DE JANEIRO-MARAMBAIA,23,30.1,0,-23.05027777,22.8,39.6,RJ,3.9,A602,-43.59555555
77.5,2018-01-19,RIO DE JANEIRO-MARAMBAIA,43,28,0,-23.05027777,25.4,33,RJ,3,A602,-43.59555555
79.9,2018-01-20,RIO DE JANEIRO-MARAMBAIA,69,26.5,0,-23.05027777,24.1,29.5,RJ,3.1,A602,-43.59555555
80.8,2018-01-21,RIO DE JANEIRO-MARAMBAIA,54,26.2,1.2,-23.05027777,23,31.4,RJ,3,A602,-43.59555555
77.7,2018-01-22,RIO DE JANEIRO-MARAMBAIA,62,27.2,0,-23.05027777,23.8,31.6,RJ,2.9,A602,-43.59555555
63.2,2018-01-23,RIO DE JANEIRO-MARAMBAIA,31,28.8,0,-23.05027777,24.6,37.2,RJ,4.3,A602,-43.59555555
65.2,2018-01-24,RIO DE JANEIRO-MARAMBAIA,35,29,0,-23.05027777,26.2,37.1,RJ,4.2,A602,-43.59555555
79.1,2018-01-25,RIO DE JANEIRO-MARAMBAIA,67,27.4,0,-23.05027777,24.8,29.9,RJ,3.6,A602,-43.59555555
81.2,2018-01-26,RIO DE JANEIRO-MARAMBAIA,71,26.6,0,-23.05027777,24.1,29.7,RJ,5.3,A602,-43.59555555
82.3,2018-01-27,RIO DE JANEIRO-MARAMBAIA,75,25.1,5.2,-23.05027777,22.8,26.5,RJ,5.9,A602,-43.59555555
78.5,2018-01-28,RIO DE JANEIRO-MARAMBAIA,61,25.4,16,-23.05027777,21.7,30.1,RJ,3.8,A602,-43.59555555
79,2018-01-29,RIO DE JANEIRO-MARAMBAIA,57,26.3,0,-23.05027777,23.4,32,RJ,2.9,A602,-43.59555555
88.6,2018-01-30,RIO DE JANEIRO-MARAMBAIA,83,23.3,6,-23.05027777,22.8,25.4,RJ,3.4,A602,-43.59555555
80.5,2018-01-31,RIO DE JANEIRO-MARAMBAIA,66,23.9,14.4,-23.05027777,20.6,27.6,RJ,3.7,A602,-43.59555555
80.4,2018-02-01,RIO DE JANEIRO-MARAMBAIA,68,24.6,1.2,-23.05027777,21.5,27.5,RJ,3.4,A602,-43.59555555
79.9,2018-02-02,RIO DE JANEIRO-MARAMBAIA,68,24.7,0,-23.05027777,21.8,27.7,RJ,3.1,A602,-43.59555555
78.3,2018-02-03,RIO DE JANEIRO-MARAMBAIA,67,25,0,-23.05027777,22.1,28.1,RJ,3.6,A602,-43.59555555
70.2,2018-02-04,RIO DE JANEIRO-MARAMBAIA,58,24.8,0,-23.05027777,19.9,27.7,RJ,2.9,A602,-43.59555555
85.8,2018-02-05,RIO DE JANEIRO-MARAMBAIA,76,22.4,0.2,-23.05027777,21.6,24.5,RJ,1.8,A602,-43.59555555
83,2018-02-06,RIO DE JANEIRO-MARAMBAIA,67,23.4,2.2,-23.05027777,20.6,27.3,RJ,2.7,A602,-43.59555555
84.1,2018-02-07,RIO DE JANEIRO-MARAMBAIA,72,24.5,3.8,-23.05027777,21.9,27.5,RJ,3.8,A602,-43.59555555
80.6,2018-02-08,RIO DE JANEIRO-MARAMBAIA,66,25.1,1.2,-23.05027777,21.3,28.5,RJ,3.2,A602,-43.59555555
77.5,2018-02-09,RIO DE JANEIRO-MARAMBAIA,51,26.6,0,-23.05027777,22.4,32.6,RJ,3.6,A602,-43.59555555
70.2,2018-02-10,RIO DE JANEIRO-MARAMBAIA,36,29.1,0,-23.05027777,23.6,37.8,RJ,3.3,A602,-43.59555555
65.9,2018-02-11,RIO DE JANEIRO-MARAMBAIA,50,28.4,0,-23.05027777,24.6,33.6,RJ,4,A602,-43.59555555
68.7,2018-02-12,RIO DE JANEIRO-MARAMBAIA,29,29.3,0,-23.05027777,25.4,38.4,RJ,4.2,A602,-43.59555555
81.8,2018-02-13,RIO DE JANEIRO-MARAMBAIA,70,26.5,0,-23.05027777,25.4,28.4,RJ,4.8,A602,-43.59555555
88,2018-02-14,RIO DE JANEIRO-MARAMBAIA,66,24.7,72.2,-23.05027777,22.4,28.6,RJ,6.4,A602,-43.59555555
