DT_MEDICAO,TEMP_MIN,TEMP_MED,TEMP_MAX,CHUVA,UMID_MIN,UMID_MED,VEL_VENTO_MED
2017-01-01,23.9,29.8,36.4,0.0,39.0,68.1,1.8
2017-01-02,24.1,28.4,33.5,0.0,52.0,74.4,1.2
2017-01-03,23.7,27.5,32.7,0.0,57.0,77.6,1.4
2017-01-04,22.0,28.9,37.6,0.0,32.0,66.7,2.2
2017-01-05,23.2,29.4,36.3,0.0,35.0,66.8,1.7
2017-01-06,22.5,28.1,33.6,0.0,47.0,69.7,1.6
2017-01-07,23.5,28.2,32.6,0.0,50.0,74.1,1.3
2017-01-08,23.9,28.8,33.7,0.0,50.0,69.8,1.8
2017-01-09,22.7,29.6,37.5,0.0,33.0,65.8,1.4
2017-01-10,23.1,29.3,35.8,0.0,39.0,68.0,1.5
2017-01-11,23.7,28.2,34.5,0.0,54.0,74.8,1.3
2017-01-12,23.1,25.0,31.7,0.0,61.0,87.4,1.2
2017-01-13,23.4,24.3,25.8,110.6,80.0,91.5,1.2
2017-01-14,22.7,25.7,29.6,15.2,65.0,81.7,1.6
2017-01-15,22.0,26.9,32.2,0.2,58.0,78.8,1.4
2017-01-16,23.4,27.8,33.9,0.0,53.0,75.8,1.9
2017-01-17,25.0,28.6,34.6,0.4,35.0,62.5,3.3
2017-01-18,21.6,29.0,35.7,0.0,36.0,60.7,2.8
2017-01-19,23.2,26.9,31.9,0.0,56.0,78.2,1.5
2017-01-20,23.5,26.3,30.3,0.0,62.0,80.4,1.2
2017-01-21,22.0,26.1,31.2,0.0,56.0,80.4,1.3
2017-01-22,24.0,27.6,33.5,0.0,42.0,68.9,2.6
2017-01-23,22.8,28.1,34.5,0.0,42.0,65.9,2.6
2017-01-24,22.3,28.6,35.9,0.0,37.0,66.6,2.2
2017-01-25,22.4,29.5,37.1,0.0,32.0,67.0,1.8
2017-01-26,23.7,29.1,36.0,0.0,36.0,72.2,1.4
2017-01-27,23.1,28.6,36.8,5.6,35.0,71.9,1.7
2017-01-28,23.2,28.4,35.5,0.0,36.0,68.6,2.7
2017-01-29,23.3,28.0,33.1,0.0,47.0,67.1,3.8
2017-01-30,24.0,27.6,34.0,0.0,43.0,70.0,3.5
2017-01-31,23.6,26.8,31.8,0.0,46.0,74.0,2.3
