DC_NOME,SG_ESTADO,CD_SITUACAO,VL_LATITUDE,VL_LONGITUDE,VL_ALTITUDE,DT_INICIO_OPERACAO,CD_ESTACAO
AGUA BRANCA,AL,Operante,-9.26472222,-37.93805555,603.42,04/05/1928,
ALTAMIRA,PA,Operante,-3.21416666,-52.21305555,101.51,23/04/1927,
ALTO DA BOA VISTA,RJ,Operante,-22.96583333,-43.27916666,347.1,31/05/1966,
APODI,RN,Operante,-5.62666666,-37.815,131.37,17/12/1962,
ARACUAI,MG,Operante,-16.84888888,-42.06083333,317.67,05/09/1918,
ARAGARCAS,GO,Operante,-15.9025,-52.24527777,327.03,18/07/1970,
ARAGUAINA,TO,Operante,-7.103778,-48.20133,231.85,20/08/1984,
ARAXA,MG,Operante,-19.60555555,-46.94972221,1018.28,06/09/1916,
ARCOVERDE,PE,Operante,-8.433537,-37.055365,683.91,31/01/1973,
AREIA,PB,Operante,-6.97555554,-35.71805554,571.75,31/12/1928,
ARINOS,MG,Operante,-15.91527777,-46.10722222,523,04/04/1976,
BACABAL,MA,Operante,-4.21805554,-44.77583332,26.6,14/08/1976,
BAGE,RS,Operante,-31.30555555,-54.11944443,245.66,31/12/1911,
BALSAS,MA,Operante,-7.52944443,-46.04638888,263.48,13/08/1976,
BARCELOS,AM,Operante,-0.97416666,-62.9286111,30.65,31/07/1924,
BARRA,BA,Operante,-11.084858,-43.138998,407.5,02/03/1925,
BARRA DO CORDA,MA,Operante,-5.50638888,-45.23722221,154.17,13/01/1912,
BARREIRAS,BA,Operante,-12.155843,-45.008269,447.51,31/12/1923,
BELEM,PA,Operante,-1.43583333,-48.43722221,7.13,31/10/1923,
BELO HORIZONTE,MG,Operante,-19.93444444,-43.95222222,915.47,02/03/1910,
BELTERRA,PA,Operante,-2.64222221,-54.94388888,164.3,31/07/1971,
BENJAMIN CONSTANT,AM,Operante,-4.3786111,-70.02999999,78.41,31/12/1923,
BOA ESPERANCA,ES,Operante,-18.53722221,-40.27222221,100,22/10/1985,
BOA VISTA,RR,Operante,2.82944443,-60.66194444,84.18,31/12/1922,
BOM JESUS,RS,Operante,-28.66944443,-50.44194444,1047.5,23/05/1948,
BOM JESUS DA LAPA,BA,Operante,-13.251097,-43.405365,447.75,31/10/1941,
BOM JESUS DO PIAUI,PI,Operante,-9.06611111,-44.36527777,330.6,18/04/1971,
BRASILIA,DF,Operante,-15.78972221,-47.92583332,1161.42,11/09/1961,
BREVES,PA,Operante,-1.680277,-50.478034,9.8,31/08/1970,
C. DO MATO DENTRO,MG,Operante,-19.020355,-43.433948,663.02,29/06/1925,
CABROBO,PE,Operante,-8.50388888,-39.31527777,342.78,16/10/1927,
CAMETA,PA,Operante,-2.23972221,-49.49972221,9.93,30/04/1970,
CAMPINA GRANDE,PB,Operante,-7.22555554,-35.90472222,546.27,31/12/1910,
CAMPOS,RJ,Operante,-21.74249999,-41.33277777,11.2,16/06/1911,
CANARANA,MT,Operante,-13.47083332,-52.2711111,430,03/08/1987,
CAPARAO,MG,Operante,-20.526119,-41.90913,836.25,16/11/1972,
CARACARAI,RR,Operante,1.83249999,-61.12083332,51.99,10/01/1970,
CARATINGA,MG,Operante,-19.73583333,-42.13722221,609.56,14/03/1924,
CARAVELAS,BA,Operante,-17.73944444,-39.25861111,6.05,30/04/1930,
CARBONITA,MG,Operante,-17.533008,-43.012091,765.37,31/12/1980,
CAROLINA,MA,Operante,-7.33722221,-47.45972222,182.94,31/12/1912,
CATALAO,GO,Operante,-18.17027777,-47.95805555,857.98,31/12/1912,
CAXIAS DO SUL,RS,Operante,-29.1961111,-51.18638888,750.16,11/04/1912,
CEARA MIRIM,RN,Operante,-5.65333333,-35.42583332,62.2,31/05/1967,
CHAPADINHA,MA,Operante,-3.74277777,-43.35222222,104,27/08/1976,
CIPO,BA,Operante,-11.10138888,-38.52416666,143.53,31/12/1934,
CODAJAS,AM,Operante,-3.8411111,-62.05527777,30.31,18/08/1974,
COLINAS,MA,Operante,-6.03305554,-44.23333333,175.56,18/05/1976,
CONCEICAO DO ARAGUAIA,PA,Operante,-8.25916666,-49.26388888,179.02,18/03/1920,
CORDEIRO,RJ,Operante,-22.02222221,-42.36444444,505.9,15/07/1971,
CORRENTINA,BA,Operante,-13.33249999,-44.61749999,551.69,10/08/1975,
CRUZ ALTA,RS,Operante,-28.6261111,-53.61388888,475.52,01/02/1912,
CRUZ DAS ALMAS,BA,Operante,-12.67527777,-39.08972221,219.69,31/12/1957,
