local,codigo,operacional,fundada
SEROPEDICA-ECOLOGIA AGRICOLA,A601,Operante,23/05/2000
RIO DE JANEIRO-MARAMBAIA,A602,Operante,07/11/2002
DUQUE DE CAXIAS - XEREM,A603,Operante,20/10/2002
CAMBUCI,A604,Operante,19/11/2002
ARRAIAL DO CABO,A606,Operante,21/09/2006
CAMPOS DOS GOYTACAZES,A607,Operante,24/09/2006
MACAE,A608,Operante,21/09/2006
RESENDE,A609,Operante,28/09/2006
PICO DO COUTO,A610,Operante,21/10/2006
VALENCA,A611,Operante,26/09/2006
TERESOPOLIS-PARQUE NACIONAL,A618,Operante,31/10/2006
PARATY,A619,Operante,18/11/2006
CAMPOS DOS GOYTACAZES - SAO TOME,A620,Operante,12/06/2008
RIO DE JANEIRO - VILA MILITAR,A621,Operante,12/04/2007
NOVA FRIBURGO - SALINAS,A624,Operante,17/09/2010
TRES RIOS,A625,Operante,07/06/2016
RIO CLARO,A626,Operante,02/06/2016
NITEROI,A627,Operante,12/07/2018
ANGRA DOS REIS,A628,Operante,24/08/2017
CARMO,A629,Operante,10/10/2018
SANTA MARIA MADALENA,A630,Operante,15/10/2018
ITATIAIA - AGULHAS NEGRAS,A635,Operante,31/08/2017
RIO DE JANEIRO - JACAREPAGUA,A636,Operante,09/08/2017
RIO DE JANEIRO - FORTE DE COPACABANA,A652,Operante,17/05/2007
SILVA JARDIM,A659,Operante,27/08/2015
SAQUAREMA - SAMPAIO CORREIA,A667,Operante,01/09/2015
