DC_NOME,CD_ESTACAO,SG_ESTADO,CD_SITUACAO,DT_INICIO_OPERACAO
SEROPEDICA-ECOLOGIA AGRICOLA,A601,RJ,Operante,23/05/2000
RIO DE JANEIRO-MARAMBAIA,A602,RJ,Operante,07/11/2002
DUQUE DE CAXIAS - XEREM,A603,RJ,Operante,20/10/2002
CAMBUCI,A604,RJ,Operante,19/11/2002
ARRAIAL DO CABO,A606,RJ,Operante,21/09/2006
CAMPOS DOS GOYTACAZES,A607,RJ,Operante,24/09/2006
MACAE,A608,RJ,Operante,21/09/2006
RESENDE,A609,RJ,Operante,28/09/2006
PICO DO COUTO,A610,RJ,Operante,21/10/2006
VALENCA,A611,RJ,Operante,26/09/2006
TERESOPOLIS-PARQUE NACIONAL,A618,RJ,Operante,31/10/2006
PARATY,A619,RJ,Operante,18/11/2006
CAMPOS DOS GOYTACAZES - SAO TOME,A620,RJ,Operante,12/06/2008
RIO DE JANEIRO - VILA MILITAR,A621,RJ,Operante,12/04/2007
NOVA FRIBURGO - SALINAS,A624,RJ,Operante,17/09/2010
TRES RIOS,A625,RJ,Operante,07/06/2016
RIO CLARO,A626,RJ,Operante,02/06/2016
NITEROI,A627,RJ,Operante,12/07/2018
ANGRA DOS REIS,A628,RJ,Operante,24/08/2017
CARMO,A629,RJ,Operante,10/10/2018
SANTA MARIA MADALENA,A630,RJ,Operante,15/10/2018
ITATIAIA - AGULHAS NEGRAS,A635,RJ,Operante,31/08/2017
RIO DE JANEIRO - JACAREPAGUA,A636,RJ,Operante,09/08/2017
RIO DE JANEIRO - FORTE DE COPACABANA,A652,RJ,Operante,17/05/2007
SILVA JARDIM,A659,RJ,Operante,27/08/2015
SAQUAREMA - SAMPAIO CORREIA,A667,RJ,Operante,01/09/2015
