municipio;altitude;latitude;longitude
Angra dos Reis;6;23-00-24 S;44-19-05 O
Aperibé;71;21-37-15 S;42-06-10 O
Araruama;15;22-52-22 S;42-20-35 O
Areal;444;22-13-50 S;43-06-20 O
Armação dos Búzios;3;22-44-49 S;41-52-54 O
Arraial do Cabo;8;22-57-58 S;42-01-40 O
Barra do Piraí;363;22-28-12 S;43-49-32 O
Barra Mansa;381;22-32-39 S;44-10-17 O
Belford Roxo;18;22-45-51 S;43-23-58 O
Bom Jardim;560;22-09-07 S;42-25-10 O
Bom Jesus do Itabapoana;88;21-08-02 S;41-40-47 O
Cabo Frio;4;22-52-46 S;42-01-07 O
Cachoeiras de Macacu;57;22-27-45 S;42-39-11 O
Cambuci;35;21-34-31 S;41-54-40 O
Campos dos Goytacazes;13;21-45-15 S;41-19-28 O
Cantagalo;391;21-58-52 S;42-22-05 O
Carapebus;15;22-11-14 S;41-39-40 O
Cardoso Moreira;22;21-29-18 S;41-36-56 O
Carmo;347;21-56-01 S;42-36-31 O
Casimiro de Abreu;17;22-28-50 S;42-12-15 O
Comendador Levy Gasparian;315;22-01-43 S;43-12-18 O
Conceição de Macabu;50;22-05-07 S;41-52-06 O
Cordeiro;485;22-01-43 S;42-21-39 O
Duas Barras;530;22-03-04 S;42-31-18 O
Duque de Caxias;19;22-47-08 S;43-18-42 O
Engenheiro Paulo de Frontin;395;22-32-59 S;43-40-42 O
Guapimirim;48;22-32-14 S;42-58-55 O
Iguaba Grande;18;22-50-21 S;42-13-44 O
Itaboraí;46;22-44-40 S;42-51-34 O
Itaguaí;13;22-51-08 S;43-46-31 O
Italva;36;21-25-15 S;41-41-27 O
Itaocara;60;21-40-09 S;42-04-34 O
Itaperuna;108;21-12-18 S;41-53-16 O
Itatiaia;390;22-29-46 S;44-33-48 O
Japeri;30;22-38-35 S;43-39-12 O
Laje do Muriaé;172;21-12-23 S;42-07-21 O
Macaé;2;22-22-15 S;41-47-13 O
Macuco;266;21-59-02 S;42-15-10 O
Magé;5;22-39-10 S;43-02-26 O
Mangaratiba;18;22-57-35 S;44-02-26 O
Maricá;5;22-55-10 S;42-49-07 O
Mendes;410;22-31-36 S;43-43-58 O
Mesquita;23;22-46-59 S;43-25-56 O
Miguel Pereira;618;22-27-14 S;43-28-08 O
Miracema;137;21-24-44 S;42-11-48 O
Natividade;182;21-02-32 S;41-58-24 O
Nilópolis;16;22-48-27 S;43-24-50 O
Niterói;5;22-53-00 S;43-06-13 O
Nova Friburgo;846;22-16-55 S;42-31-52 O
Nova Iguaçu;25;22-45-33 S;43-27-04 O
Paracambi;50;22-36-39 S;43-42-33 O
Paraíba do Sul;275;22-09-43 S;43-17-34 O
Paraty;5;23-13-04 S;44-42-47 O
Paty do Alferes;610;22-25-43 S;43-25-07 O
Petrópolis;809;22-30-18 S;43-10-43 O
Pinheiral;345;22-30-46 S;44-00-02 O
Piraí;387;22-37-45 S;43-53-53 O
Porciúncula;190;20-57-46 S;42-02-27 O
Porto Real;385;22-25-11 S;44-17-25 O
Quatis;415;22-24-26 S;44-15-29 O
Queimados;30;22-42-58 S;43-33-19 O
Quissamã;19;22-06-24 S;41-28-20 O
Resende;407;22-28-08 S;44-26-48 O
Rio Bonito;62;22-42-30 S;42-37-34 O
Rio Claro;446;22-43-23 S;44-08-08 O
Rio das Flores;525;22-10-03 S;43-35-08 O
Rio das Ostras;4;22-31-37 S;41-56-42 O
Rio de Janeiro;2;22-54-10 S;43-12-27 O
Santa Maria Madalena;615;21-57-19 S;42-00-29 O
Santo Antônio de Pádua;86;21-32-22 S;42-10-49 O
São Fidélis;15;21-38-46 S;41-44-49 O
São Francisco de Itabapoana;8;21-18-07 S;40-57-41 O
São Gonçalo;19;22-49-37 S;43-03-14 O
São João da Barra;5;21-38-25 S;41-03-04 O
São João de Meriti;19;22-48-14 S;43-22-20 O
São José de Ubá;95;21-21-27 S;41-56-33 O
São José do Vale do Rio Preto;615;22-09-05 S;42-55-28 O
São Pedro da Aldeia;5;22-50-21 S;42-06-10 O
São Sebastião do Alto;575;21-57-26 S;42-08-05 O
Sapucaia;221;21-59-42 S;42-54-52 O
Saquarema;10;22-55-12 S;42-30-37 O
Seropédica;26;22-44-38 S;43-42-27 O
Silva Jardim;35;22-39-03 S;42-23-30 O
Sumidouro;355;22-02-59 S;42-40-29 O
Tanguá;20;22-43-49 S;42-42-51 O
Teresópolis;871;22-24-44 S;42-57-56 O
Trajano de Moraes;655;22-03-48 S;42-03-59 O
Três Rios;269;22-07-00 S;43-12-33 O
Valença;560;22-14-44 S;43-42-01 O
Varre-Sai;680;20-55-52 S;41-52-07 O
Vassouras;434;22-24-14 S;43-39-45 O
Volta Redonda;390;22-31-23 S;44-06-15 O
