municipio,latitude,longitude,geometry
Angra dos Reis,-23.006666666666668,-44.31805555555556,POINT (-44.31805555555556 -23.00666666666667)
Aperibé,-21.620833333333334,-42.10277777777778,POINT (-42.10277777777778 -21.62083333333333)
Araruama,-22.872777777777777,-42.34305555555556,POINT (-42.34305555555556 -22.87277777777778)
Areal,-22.230555555555554,-43.105555555555554,POINT (-43.10555555555555 -22.23055555555555)
Armação dos Búzios,-22.746944444444445,-41.88166666666667,POINT (-41.88166666666667 -22.74694444444444)
Arraial do Cabo,-22.96611111111111,-42.02777777777778,POINT (-42.02777777777778 -22.96611111111111)
Barra do Piraí,-22.47,-43.82555555555556,POINT (-43.82555555555556 -22.47)
Barra Mansa,-22.54416666666667,-44.171388888888885,POINT (-44.17138888888888 -22.54416666666667)
Belford Roxo,-22.764166666666668,-43.39944444444444,POINT (-43.39944444444444 -22.76416666666667)
Bom Jardim,-22.151944444444442,-42.419444444444444,POINT (-42.41944444444444 -22.15194444444444)
Bom Jesus do Itabapoana,-21.133888888888887,-41.67972222222222,POINT (-41.67972222222222 -21.13388888888889)
Cabo Frio,-22.879444444444445,-42.01861111111111,POINT (-42.01861111111111 -22.87944444444445)
Cachoeiras de Macacu,-22.4625,-42.653055555555554,POINT (-42.65305555555555 -22.4625)
Cambuci,-21.575277777777778,-41.91111111111111,POINT (-41.91111111111111 -21.57527777777778)
Campos dos Goytacazes,-21.754166666666666,-41.324444444444445,POINT (-41.32444444444445 -21.75416666666667)
Cantagalo,-21.981111111111108,-42.36805555555556,POINT (-42.36805555555556 -21.98111111111111)
Carapebus,-22.18722222222222,-41.66111111111111,POINT (-41.66111111111111 -22.18722222222222)
Cardoso Moreira,-21.488333333333333,-41.61555555555556,POINT (-41.61555555555556 -21.48833333333333)
Carmo,-21.933611111111112,-42.60861111111111,POINT (-42.60861111111111 -21.93361111111111)
Casimiro de Abreu,-22.480555555555554,-42.20416666666667,POINT (-42.20416666666667 -22.48055555555555)
Comendador Levy Gasparian,-22.02861111111111,-43.205000000000005,POINT (-43.20500000000001 -22.02861111111111)
Conceição de Macabu,-22.085277777777776,-41.86833333333333,POINT (-41.86833333333333 -22.08527777777778)
Cordeiro,-22.02861111111111,-42.36083333333333,POINT (-42.36083333333333 -22.02861111111111)
Duas Barras,-22.051111111111112,-42.52166666666667,POINT (-42.52166666666667 -22.05111111111111)
Duque de Caxias,-22.785555555555558,-43.31166666666666,POINT (-43.31166666666666 -22.78555555555556)
Engenheiro Paulo de Frontin,-22.549722222222226,-43.67833333333333,POINT (-43.67833333333333 -22.54972222222223)
Guapimirim,-22.537222222222223,-42.981944444444444,POINT (-42.98194444444444 -22.53722222222222)
Iguaba Grande,-22.839166666666664,-42.22888888888889,POINT (-42.22888888888889 -22.83916666666666)
Itaboraí,-22.744444444444447,-42.85944444444445,POINT (-42.85944444444445 -22.74444444444445)
Itaguaí,-22.852222222222224,-43.775277777777774,POINT (-43.77527777777777 -22.85222222222222)
Italva,-21.420833333333334,-41.69083333333333,POINT (-41.69083333333333 -21.42083333333333)
Itaocara,-21.66916666666667,-42.07611111111112,POINT (-42.07611111111112 -21.66916666666667)
Itaperuna,-21.205,-41.88777777777778,POINT (-41.88777777777778 -21.205)
Itatiaia,-22.496111111111112,-44.56333333333333,POINT (-44.56333333333333 -22.49611111111111)
Japeri,-22.643055555555556,-43.65333333333333,POINT (-43.65333333333333 -22.64305555555556)
Laje do Muriaé,-21.20638888888889,-42.1225,POINT (-42.1225 -21.20638888888889)
Macaé,-22.370833333333334,-41.786944444444444,POINT (-41.78694444444444 -22.37083333333333)
Macuco,-21.983888888888888,-42.25277777777778,POINT (-42.25277777777778 -21.98388888888889)
Magé,-22.652777777777775,-43.04055555555556,POINT (-43.04055555555556 -22.65277777777778)
Mangaratiba,-22.959722222222222,-44.04055555555556,POINT (-44.04055555555556 -22.95972222222222)
Maricá,-22.919444444444444,-42.81861111111112,POINT (-42.81861111111112 -22.91944444444444)
Mendes,-22.526666666666667,-43.73277777777778,POINT (-43.73277777777778 -22.52666666666667)
Mesquita,-22.783055555555556,-43.43222222222222,POINT (-43.43222222222222 -22.78305555555556)
Miguel Pereira,-22.453888888888887,-43.46888888888889,POINT (-43.46888888888889 -22.45388888888889)
Miracema,-21.41222222222222,-42.196666666666665,POINT (-42.19666666666667 -21.41222222222222)
Natividade,-21.042222222222225,-41.973333333333336,POINT (-41.97333333333334 -21.04222222222223)
Nilópolis,-22.8075,-43.413888888888884,POINT (-43.41388888888888 -22.8075)
